Total price,Montly installment,Year.Car.Model,Used.Transmission,Seller Name,Seller location,transmission,milage (Thousands),year,manufacturer,model,extra
99999.0,1981.0,2012 Hyundai Atos Prime 1.1 GLS,Used Car130 000 kmManual,CITTON CARS GEZINA,"Gezina, Pretoria",Manual,130.0,2012,Hyundai,Atos,"['Prime', '1.1', 'GLS']"
99950.0,1980.0,2012 Mazda Mazda3 Sedan 1.6 Dynamic,Used Car203 039 kmManual,AUTO VIEW PRE OWNED BOKSBURG,"Ravenswood, Boksburg",Manual,203.039,2012,Mazda,Mazda3,"['Sedan', '1.6', 'Dynamic']"
99950.0,1980.0,2012 Hyundai i10 1.1 GLS,Used Car157 612 kmManual,SA MOTORCORP,"Bordeaux, Randburg",Manual,157.612,2012,Hyundai,i10,"['1.1', 'GLS']"
99950.0,1980.0,2012 Volkswagen Polo Sedan 1.4 Trendline,Used Car162 000 kmManual,ABSOLUT AUTO,"Northcliff, Randburg",Manual,162.0,2012,Volkswagen,Polo,"['Sedan', '1.4', 'Trendline']"
99950.0,1980.0,2012 Hyundai i10 1.1 GLS,Used Car160 000 kmManual,PRISTINE MOTORS,"De Deur, Vereeniging",Manual,160.0,2012,Hyundai,i10,"['1.1', 'GLS']"
99950.0,1980.0,2012 Nissan Micra 1.2 Acenta,Used Car218 000 kmManual,PRISTINE MOTORS,"De Deur, Vereeniging",Manual,218.0,2012,Nissan,Micra,"['1.2', 'Acenta']"
99900.0,1979.0,2012 Hyundai i10 1.1 GLS,Used Car117 800 kmManual,JEEP FIAT ALFA ROMEO MENLYN,"Newlands, Pretoria",Manual,117.8,2012,Hyundai,i10,"['1.1', 'GLS']"
99900.0,1979.0,2013 Honda Brio Hatch 1.2 Trend,Used Car146 000 kmManual,LIONS OF JUDAH,"Montana Park, Pretoria",Manual,146.0,2013,Honda,Brio,"['Hatch', '1.2', 'Trend']"
99900.0,1979.0,2017 Tata Indica 1.4 LGi,Used Car47 362 kmManual,EASY AUTO FIN (PTY) LTD,"Vereeniging Central, Vereeniging",Manual,47.362,2017,Tata,Indica,"['1.4', 'LGi']"
99900.0,1979.0,2012 Smart Fortwo 1.0t Cabrio passion,Used Car116 400 kmAutomatic,AUTOCITY MAHINDRA HEIDELBERG,"Heidelberg Industrial, Heidelberg",Automatic,116.4,2012,Smart,Fortwo,"['1.0t', 'Cabrio', 'passion']"
99900.0,1979.0,2014 Ford Ikon 1.6 Ambiente,Used Car126 000 kmManual,GLOBAL AUTOHAUS WESTRAND,"Horison View, Roodepoort",Manual,126.0,2014,Ford,Ikon,"['1.6', 'Ambiente']"
99900.0,1979.0,2015 Renault Sandero 66kW Turbo Expression (Aircon),Used Car149 316 kmManual,KARAM MOTORS,"Fontainebleau, Randburg",Manual,149.316,2015,Renault,Sandero,"['66kW', 'Turbo', 'Expression', '(Aircon)']"
99900.0,1979.0,2012 Renault Sandero 1.6 Expression,Used Car133 921 kmManual,LISACARS,"Wilbart, Germiston",Manual,133.921,2012,Renault,Sandero,"['1.6', 'Expression']"
99900.0,1979.0,2013 Suzuki Alto 1.0 GLX,Used Car85 182 kmManual,LISACARS,"Wilbart, Germiston",Manual,85.182,2013,Suzuki,Alto,"['1.0', 'GLX']"
99900.0,1979.0,2015 Peugeot 208 5-Door 1.0 Access,Used Car67 000 kmManual,EBK AUTO DEALERS BRAAMFONTEIN,"Vrededorp, Johannesburg",Manual,67.0,2015,Peugeot,208,"['5-Door', '1.0', 'Access']"
99900.0,1979.0,2014 Chevrolet Spark 1.2 LS,Used Car121 000 kmManual,BMW SANDTON,"Sandton Central, Sandton",Manual,121.0,2014,Chevrolet,Spark,"['1.2', 'LS']"
99900.0,1979.0,2014 Honda Ballade 1.5 Elegance Auto,Used Car246 000 kmAutomatic,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",Automatic,246.0,2014,Honda,Ballade,"['1.5', 'Elegance', 'Auto']"
99900.0,1979.0,2018 Datsun Go 1.2 Lux,Used Car45 257 kmManual,ANGELS MOTOR GROUP,"Randjespark, Midrand",Manual,45.257,2018,Datsun,Go,"['1.2', 'Lux']"
99900.0,1979.0,2012 Chevrolet Cruze Sedan 1.8 LS,Used Car132 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",Manual,132.0,2012,Chevrolet,Cruze,"['Sedan', '1.8', 'LS']"
99900.0,1979.0,2012 Hyundai i30 1.6 Premium,Used Car208 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",Manual,208.0,2012,Hyundai,i30,"['1.6', 'Premium']"
99900.0,1979.0,2012 Mazda Mazda2 Hatch 1.5 Dynamic,Used Car214 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",Manual,214.0,2012,Mazda,Mazda2,"['Hatch', '1.5', 'Dynamic']"
99900.0,1979.0,2012 Renault Clio 1.6 Dynamique,Used Car134 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",Manual,134.0,2012,Renault,Clio,"['1.6', 'Dynamique']"
99900.0,1979.0,2012 Audi A4 1.8T Ambition,Used Car171 445 kmManual,CHICANE AUTO,"Windsor West, Randburg",Manual,171.445,2012,Audi,A4,"['1.8T', 'Ambition']"
99900.0,1979.0,2015 Hyundai i10 1.1 GLS,Used Car162 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",Manual,162.0,2015,Hyundai,i10,"['1.1', 'GLS']"
99900.0,1979.0,2015 Toyota Corolla Quest 1.6 auto,Used Car128 000 kmAutomatic,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",Automatic,128.0,2015,Toyota,Corolla,"['Quest', '1.6', 'auto']"
99900.0,1979.0,2017 Tata Bolt Hatch 1.2T XMS,Used Car88 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",Manual,88.0,2017,Tata,Bolt,"['Hatch', '1.2T', 'XMS']"
99900.0,1979.0,2019 Datsun Go 1.2 Mid,Used Car85 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",Manual,85.0,2019,Datsun,Go,"['1.2', 'Mid']"
