Total price,Montly installment,Year.Car.Model,Used.Transmission,Seller Name,Seller location,transmission,milage (Thousands),year,manufacturer,model,extra
99999.0,1981.0,2011 Fiat 500 1.2,Used Car85 000 kmManual,CITTON CARS GEZINA,"Gezina, Pretoria",Manual,85.0,2011,Fiat,500,['1.2']
99999.0,1981.0,2012 Hyundai Atos Prime 1.1 GLS,Used Car130 000 kmManual,CITTON CARS GEZINA,"Gezina, Pretoria",Manual,130.0,2012,Hyundai,Atos,"['Prime', '1.1', 'GLS']"
99995.0,1981.0,2014 Ford Figo 1.4 Ambiente,Used Car177 000 kmManual,INSPECTACAR GEZINA,"Capital Park, Pretoria",Manual,177.0,2014,Ford,Figo,"['1.4', 'Ambiente']"
99990.0,1981.0,2006 Volkswagen Citi 1.4i,Used Car93 778 kmManual,VARNFIELD EN MARITZ MOTORS,"Pretoria North, Pretoria",Manual,93.778,2006,Volkswagen,Citi,['1.4i']
99990.0,1981.0,2005 Toyota Corolla 160i GLS,Used Car213 884 kmManual,VARNFIELD EN MARITZ MOTORS,"Pretoria North, Pretoria",Manual,213.884,2005,Toyota,Corolla,"['160i', 'GLS']"
99950.0,1980.0,2012 Mazda Mazda3 Sedan 1.6 Dynamic,Used Car203 039 kmManual,AUTO VIEW PRE OWNED BOKSBURG,"Ravenswood, Boksburg",Manual,203.039,2012,Mazda,Mazda3,"['Sedan', '1.6', 'Dynamic']"
99950.0,1980.0,2010 Hyundai i30 1.6 GLS,Used Car200 000 kmManual,CARBON BLACK AUTO,"Paulshof, Sandton",Manual,200.0,2010,Hyundai,i30,"['1.6', 'GLS']"
99950.0,1980.0,2012 Hyundai i10 1.1 GLS,Used Car157 612 kmManual,SA MOTORCORP,"Bordeaux, Randburg",Manual,157.612,2012,Hyundai,i10,"['1.1', 'GLS']"
99950.0,1980.0,2005 Mercedes-Benz A-Class A170 Avantgarde Auto,Used Car73 000 kmAutomatic,ABSOLUT AUTO,"Northcliff, Randburg",Automatic,73.0,2005,Mercedes-Benz,A-Class,"['A170', 'Avantgarde', 'Auto']"
99950.0,1980.0,2012 Volkswagen Polo Sedan 1.4 Trendline,Used Car162 000 kmManual,ABSOLUT AUTO,"Northcliff, Randburg",Manual,162.0,2012,Volkswagen,Polo,"['Sedan', '1.4', 'Trendline']"
99950.0,1980.0,2008 Volvo S40 2.0,Used Car172 000 kmManual,PRISTINE MOTORS,"De Deur, Vereeniging",Manual,172.0,2008,Volvo,S40,['2.0']
99950.0,1980.0,2006 Renault Modus 1.4 Expression,Used Car176 000 kmManual,PRISTINE MOTORS,"De Deur, Vereeniging",Manual,176.0,2006,Renault,Modus,"['1.4', 'Expression']"
99950.0,1980.0,2006 Volkswagen Golf 1.6l Caddy,Used Car154 000 kmManual,PRISTINE MOTORS,"De Deur, Vereeniging",Manual,154.0,2006,Volkswagen,Golf,"['1.6l', 'Caddy']"
99950.0,1980.0,2012 Hyundai i10 1.1 GLS,Used Car160 000 kmManual,PRISTINE MOTORS,"De Deur, Vereeniging",Manual,160.0,2012,Hyundai,i10,"['1.1', 'GLS']"
99950.0,1980.0,2012 Nissan Micra 1.2 Acenta,Used Car218 000 kmManual,PRISTINE MOTORS,"De Deur, Vereeniging",Manual,218.0,2012,Nissan,Micra,"['1.2', 'Acenta']"
99950.0,1980.0,2008 Daihatsu Terios 1.5,Used Car221 000 kmManual,SA MOTORCORP,"Bordeaux, Randburg",Manual,221.0,2008,Daihatsu,Terios,['1.5']
99900.0,1979.0,1992 Mercedes-Benz E-Class 230E W123,Used Car214 845 kmManual,STRUBEN STREET MOTORS,"Mayville, Pretoria",Manual,214.845,1992,Mercedes-Benz,E-Class,"['230E', 'W123']"
99900.0,1979.0,2011 Nissan Navara 2.5dCi KingCab 4x4 XE,Used Car236 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",Manual,236.0,2011,Nissan,Navara,"['2.5dCi', 'KingCab', '4x4', 'XE']"
99900.0,1979.0,2011 BMW X3 xDrive20d,Used Car197 000 kmAutomatic,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",Automatic,197.0,2011,BMW,X3,['xDrive20d']
99900.0,1979.0,2017 Tata Indica 1.4 LGi,Used Car47 362 kmManual,EASY AUTO FIN (PTY) LTD,"Vereeniging Central, Vereeniging",Manual,47.362,2017,Tata,Indica,"['1.4', 'LGi']"
99900.0,1979.0,2004 Mercedes-Benz SLK SLK 200 Kompressor Auto,Used Car245 000 kmAutomatic,AUTOCITY KIA NIGEL,"Nigel Central, Nigel",Automatic,245.0,2004,Mercedes-Benz,SLK,"['SLK', '200', 'Kompressor', 'Auto']"
99900.0,1979.0,2012 Smart Fortwo 1.0t Cabrio passion,Used Car116 400 kmAutomatic,AUTOCITY MAHINDRA HEIDELBERG,"Heidelberg Industrial, Heidelberg",Automatic,116.4,2012,Smart,Fortwo,"['1.0t', 'Cabrio', 'passion']"
99900.0,1979.0,1992 Mercedes-Benz E-Class 230E W123,Used Car214 845 kmManual,STRUBEN STREET MOTORS,"Mayville, Pretoria",Manual,214.845,1992,Mercedes-Benz,E-Class,"['230E', 'W123']"
99900.0,1979.0,2011 Nissan Navara 2.5dCi KingCab 4x4 XE,Used Car236 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",Manual,236.0,2011,Nissan,Navara,"['2.5dCi', 'KingCab', '4x4', 'XE']"
99900.0,1979.0,2011 BMW X3 xDrive20d,Used Car197 000 kmAutomatic,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",Automatic,197.0,2011,BMW,X3,['xDrive20d']
99900.0,1979.0,2011 Honda Jazz 1.3 Comfort Auto,Used Car110 000 kmAutomatic,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",Automatic,110.0,2011,Honda,Jazz,"['1.3', 'Comfort', 'Auto']"
99900.0,1979.0,2015 Renault Sandero 66kW Turbo Expression (Aircon),Used Car149 316 kmManual,KARAM MOTORS,"Fontainebleau, Randburg",Manual,149.316,2015,Renault,Sandero,"['66kW', 'Turbo', 'Expression', '(Aircon)']"
99900.0,1979.0,2012 Renault Sandero 1.6 Expression,Used Car133 921 kmManual,LISACARS,"Wilbart, Germiston",Manual,133.921,2012,Renault,Sandero,"['1.6', 'Expression']"
99900.0,1979.0,2013 Suzuki Alto 1.0 GLX,Used Car85 182 kmManual,LISACARS,"Wilbart, Germiston",Manual,85.182,2013,Suzuki,Alto,"['1.0', 'GLX']"
99900.0,1979.0,2002 Land Rover Range Rover 4.6 VOGUE Auto,Used Car319 000 kmAutomatic,SMT MOTORS,"Linden, Randburg",Automatic,319.0,2002,Land,Rover,"['Range', 'Rover', '4.6', 'VOGUE', 'Auto']"
99900.0,1979.0,2015 Peugeot 208 5-Door 1.0 Access,Used Car67 000 kmManual,EBK AUTO DEALERS BRAAMFONTEIN,"Vrededorp, Johannesburg",Manual,67.0,2015,Peugeot,208,"['5-Door', '1.0', 'Access']"
99900.0,1979.0,2014 Chevrolet Spark 1.2 LS,Used Car121 000 kmManual,BMW SANDTON,"Sandton Central, Sandton",Manual,121.0,2014,Chevrolet,Spark,"['1.2', 'LS']"
99900.0,1979.0,1998 Ford Laser Tracer 1.3,Used Car62 031 kmManual,MIT MAK MOTORS GERRIT MARITZ,"Pretoria North, Pretoria",Manual,62.031,1998,Ford,Laser,"['Tracer', '1.3']"
99900.0,1979.0,2014 Honda Ballade 1.5 Elegance Auto,Used Car246 000 kmAutomatic,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",Automatic,246.0,2014,Honda,Ballade,"['1.5', 'Elegance', 'Auto']"
99900.0,1979.0,2011 Volkswagen Polo Vivo 5-Door 1.4,Used Car120 000 kmManual,CHICANE AUTO,"Windsor West, Randburg",Manual,120.0,2011,Volkswagen,Polo,"['Vivo', '5-Door', '1.4']"
99900.0,1979.0,2008 Mazda BT-50 3.0CRD Freestyle Cab SLX,Used Car459 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",Manual,459.0,2008,Mazda,BT-50,"['3.0CRD', 'Freestyle', 'Cab', 'SLX']"
99900.0,1979.0,2010 Hyundai i10 1.1 GLS,Used Car142 000 kmManual,KOLEV MOTORS,"Edenvale Central, Edenvale",Manual,142.0,2010,Hyundai,i10,"['1.1', 'GLS']"
99900.0,1979.0,2018 Datsun Go 1.2 Lux,Used Car45 257 kmManual,ANGELS MOTOR GROUP,"Randjespark, Midrand",Manual,45.257,2018,Datsun,Go,"['1.2', 'Lux']"
99900.0,1979.0,2012 Chevrolet Cruze Sedan 1.8 LS,Used Car132 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",Manual,132.0,2012,Chevrolet,Cruze,"['Sedan', '1.8', 'LS']"
